cnpj,raiz_cnpj,matriz_filial,razao_social,opcao_pelo_simples,capital_social
14557997000190,14557997,MATRIZ,INFRACERTA CONSULTORIA LTDA,NAO,6000
14686366000170,14686366,MATRIZ,CONNECT TELEINFORMATICA E CONSULTORIA LTDA,NAO,50000
14699691000178,14699691,MATRIZ,RETAIL CONSULT KSR - SOLUCOES PARA VAREJO LTDA,NAO,155690
14808197000102,14808197,MATRIZ,MURATA TECNOLOGIA DA INFORMACAO LTDA,SIM,20000
14816976000141,14816976,MATRIZ,JOBYLWARE SISTEMAS LTDA,SIM,10000
14911562000100,14911562,MATRIZ,PRATICA CERTIFICACAO DIGITAL LTDA.,SIM,300000
15083648000146,15083648,MATRIZ,KNOW HOW ASSESSORIA EMPRESARIAL LTDA,NAO,10000
15111904000161,15111904,MATRIZ,MLV PRODUTOS E SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,NAO,120000
15251078000156,15251078,MATRIZ,ROSSI & ZAMBON INFORMATICA LTDA,NAO,10000
15371741000156,15371741,MATRIZ,INTELLYTWO NEGOCIOS & SERVICOS LTDA,NAO,80000
15793046000182,15793046,MATRIZ,MUJEIKO & EICHLER PARTICIPACOES SA,NAO,243146
16528380000171,16528380,MATRIZ,AKQUINET HKS SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,NAO,30000
16539305000106,16539305,MATRIZ,UPY SISTEMAS LTDA,NAO,20000
16584899000177,16584899,MATRIZ,SMART SKY SERVICOS LTDA,NAO,20000
16644671000125,16644671,MATRIZ,ANESTECH TECNOLOGIA DA INFORMACAO LTDA,NAO,202706
16800966000143,16800966,MATRIZ,RIC MAIS PARANA LTDA.,NAO,1160000
16801310000145,16801310,MATRIZ,SERCOMPE TECNOLOGIA EM SOFTWARE LTDA,NAO,10000
16890759000127,16890759,MATRIZ,RISKOFIT TECNOLOGIA APLICADA LTDA,NAO,302000
17011419000141,17011419,MATRIZ,UHLIG & KOROVSKY TECNOLOGIA LTDA.,SIM,65000
17052172000101,17052172,MATRIZ,BROWNPIPE CONSULTORIA EM SEGURANCA DA INFORMACAO LTDA.,NAO,10000
17128605000165,17128605,MATRIZ,DIMAT SOLUTIONS - CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,10000
17437312000160,17437312,MATRIZ,HGSOFT TECNOLOGIA EIRELI,SIM,104500
17654009000119,17654009,MATRIZ,ACE ASSESSORIA E CONSULTORIA EM INFORMATICA EIRELI,NAO,95400
17871176000111,17871176,MATRIZ,BATISTA GESTAO EM SAUDE EIRELI,NAO,10000
17915726000157,17915726,MATRIZ,SMARTI CONSULTORIA E SERVICOS DE TI LTDA,SIM,12000
17948237000100,17948237,MATRIZ,DEFINITE IT TECNOLOGIA DA INFORMACAO LTDA,NAO,10000
17949442000181,17949442,MATRIZ,MALGUEIRO SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
18173795000103,18173795,MATRIZ,TEXVN INFORMATICA - EIRELI,SIM,70000
18319172000198,18319172,MATRIZ,TEKOA INFORMACAO E CONECTIVIDADE LTDA,NAO,1000000
18435752000140,18435752,MATRIZ,OKTOPLUS FIDELIDADE LTDA,NAO,799664
18615479000136,18615479,MATRIZ,NEOEP - ENGENHARIA DE PRODUCAO LTDA,NAO,460000
18630834000146,18630834,MATRIZ,TINO TECH INFORMATICA LTDA,NAO,20000
18771570000140,18771570,MATRIZ,VALTECH BRASIL TECNOLOGIA DIGITAL LTDA,NAO,775300
18796297000109,18796297,MATRIZ,PLANO B CONSULTORIA LTDA,SIM,10000
18843171000148,18843171,MATRIZ,BTI ESTRATEGICA CONSULTORIA EM TI LTDA,SIM,10000
19021905000176,19021905,MATRIZ,SUMMIT NETWORKS LTDA,NAO,308100
19122334000166,19122334,MATRIZ,MIDIA CLASS EDITORA LTDA,SIM,10000
19301105000109,19301105,MATRIZ,IMPLEMENTTI TECNOLOGIA EIRELI,SIM,95400
19387204000155,19387204,MATRIZ,M4 GARANTIA CONSULTORIA LTDA,NAO,3504400
19440549000125,19440549,MATRIZ,CTX CONSULTORIA LTDA.,SIM,200000
19688509000105,19688509,MATRIZ,SOCIUM IT CONSULTORIA LTDA,NAO,20000
19716266000163,19716266,MATRIZ,AQL CONSULTORIA EMPRESARIAL E TECNOLOGIA DA INFORMACAO LTDA,SIM,30000
19942131000116,19942131,MATRIZ,AIRWAVE BRASIL TECNOLOGIA LTDA,NAO,25000
19967832000100,19967832,MATRIZ,WORK OUT CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
20007959000166,20007959,MATRIZ,HYPERCLOUD CONSULTORIA E COMERCIO DE TECNOLOGIA LTDA,NAO,100000
20013675000182,20013675,MATRIZ,KEPHA MENTORIA DE PROJETOS TECNOLOGICOS LTDA,SIM,200000
20093970000196,20093970,MATRIZ,PLICPLAC DESENVOLVIMENTO WEB LTDA.,SIM,10000
20375185000126,20375185,MATRIZ,N. L DA VISITACAO & CIA. LTDA,NAO,25000
20791217000174,20791217,MATRIZ,DOMVS TECNOLOGIA DA INFORMACAO LTDA,NAO,10000
20925274000107,20925274,MATRIZ,TRUE WORK CONSULTORIA E DESENVOLVIMENTO DE SISTEMAS LTDA,NAO,15000
20945553000124,20945553,MATRIZ,ND DESENVOLVIMENTO E CONSULTORIA LTDA,NAO,75000
20980996000156,20980996,MATRIZ,SMA IT SOLUTIONS LTDA,NAO,20000
21295146000181,21295146,MATRIZ,FLM TECNOLOGIA EIRELI,SIM,100000
21388085000105,21388085,MATRIZ,FELICIO CONSULTORIA EIRELI,SIM,98000
21423671000135,21423671,MATRIZ,PORTER GROUP S.A.,NAO,1100000
21491167000172,21491167,MATRIZ,INCA CONSULTORIA DESENVOLVIMENTO E INDUSTRIALIZACAO DE TECNOLOGIAS INOVADORAS EIRELI,SIM,80000
21505378000117,21505378,MATRIZ,BRID CONSULTORIA E SOLUCOES LTDA,NAO,500000
21513996000109,21513996,MATRIZ,PROPUS SCIENCE TECNOLOGIA DA INFORMACAO LTDA,NAO,10000
21584489000166,21584489,MATRIZ,UNICORN TECNOLOGIA E PARTICIPACOES EIRELI,NAO,350000
21682068000178,21682068,MATRIZ,QEXPERT CONSULTORIA EM BUSINESS INTELLIGENCE LTDA.,NAO,45000
21728376000197,21728376,MATRIZ,CSX SOLUCOES LTDA,SIM,30000
21812398000130,21812398,MATRIZ,MRJP CONSULTORIA EM INFORMATICA S/A,NAO,30000
21884232000120,21884232,MATRIZ,NIMBUS NETWORK TECNOLOGIA DA INFORMACAO LTDA,SIM,30000
21916782000183,21916782,MATRIZ,DAYBACK ENERGIA ESTRATEGICA LTDA,SIM,50000
21932891000194,21932891,MATRIZ,AGGRANDIZE SERVICOS DE TECNOLOGIA DA INFORMACAO LTDA,NAO,63000
21935427000151,21935427,MATRIZ,PSAINFO PRESTACAO DE SERVICOS DE INFORMATICA LTDA,NAO,80000
21969334000148,21969334,MATRIZ,TRIVIO TECNOLOGIA LTDA,SIM,129000
21979785000166,21979785,MATRIZ,CENTRO DE TREINAMENTO SAO MATEUS EIRELI,NAO,78800
22007582000170,22007582,MATRIZ,ABSOFT SOLUCOES INTELIGENTES LTDA,SIM,10000
22182361000139,22182361,MATRIZ,DEV4YOU CONSULTORIA EM TECNOLOGIA DA INFORMACAO E PROCESSAMENTO DE DADOS EIRELI,NAO,93700
22282839000100,22282839,MATRIZ,GREATSOFT SISTEMAS DE INFORMACAO LTDA.,NAO,20000
22370057000115,22370057,MATRIZ,DWU SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,SIM,42000
22487718000197,22487718,MATRIZ,EXITOS EFICIENCIA EM INFORMACAO E TECNOLOGIA LTDA,NAO,30000
22516315000129,22516315,MATRIZ,EGROUP CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,15000
22546577000136,22546577,MATRIZ,AVEERE COMERCIO E SERVICOS EM TECNOLOGIA LTDA,NAO,99000
22778608000184,22778608,MATRIZ,NEXITERA CONSULTORIA E SOLUCOES EM TI SA.,NAO,7600691
22940419000166,22940419,MATRIZ,CONAZ TECNOLOGIA S.A,NAO,3483690
22981457000167,22981457,MATRIZ,IDEATOS SOLUCOES EM TECNOLOGIA EIRELI,SIM,99800
23065417000138,23065417,MATRIZ,TRUBR TECHNOLOGY LTDA,SIM,10000
23201941000199,23201941,MATRIZ,DOUGLAS CAETANO JEREMIAS,SIM,10000
23244090000161,23244090,MATRIZ,THEKLA CONSULTORIA DE SISTEMAS EIRELI,SIM,80000
23316396000186,23316396,MATRIZ,BATTISTI & BATTISTI - CONSULTORIA EMPRESARIAL LTDA,SIM,20000
